"id","fqdn/ip","port","severity","finding","cve","cwe"
"cert","www.budget.gouv.fr/46.105.199.81","443","INFO","-----BEGIN CERTIFICATE-----\nMIIGZzCCBU+gAwIBAgIRAOA2e7O27SRICqetOEtnxn0wDQYJKoZIhvcNAQELBQAwXzELMAkGA1UEBhMCRlIxDjAMBgNVBAgTBVBhcmlzMQ4wDAYDVQQHEwVQYXJpczEOMAwGA1UEChMFR2FuZGkxIDAeBgNVBAMTF0dhbmRpIFN0YW5kYXJkIFNTTCBDQSAyMB4XDTIyMTExNTAwMDAwMFoXDTIzMTEyMDIzNTk1OVowHTEbMBkGA1UEAxMSd3d3LmJ1ZGdldC5nb3V2LmZyMIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAtstLwvSdAVX+owWP3tkHgVDB9jJUOrLHmWjFFGctZXYuFJi9e1Aa5Nrsst8eRtxDk8Mqu4TNOzl6kMQyrbDz4Pvn4sOjUuI7/fRQAizQKL9PDfW7D0euNjf58x6FaBlG/Bw7rChgem/YLxs5qEHVkrXOr+guKY7JbQGKCZK6WGflnNyfV2hoi/XeqMn/37jKHdHKO3oe989Tlm7V9VDv8dwxZVaTwOgJk0tpLBNSeygU+7p7R4+Wz9WVlhsvDa3BW0TWsc1dUg4zbgczR86jLFA5f+sEpQlDNNrniCQkZazEBSLfBNwAYpohXXK40eeodjjBMrVMRiXnLvLfXr8WbwIDAQABo4IDXjCCA1owHwYDVR0jBBgwFoAUs5Cn2MmvTs1hPJ98rV1/Qf1pMOowHQYDVR0OBBYEFLykSFqaonbmHG8CYwN6OFgRXb9yMA4GA1UdDwEB/wQEAwIFoDAMBgNVHRMBAf8EAjAAMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjBLBgNVHSAERDBCMDYGCysGAQQBsjEBAgIaMCcwJQYIKwYBBQUHAgEWGWh0dHBzOi8vY3BzLnVzZXJ0cnVzdC5jb20wCAYGZ4EMAQIBMEEGA1UdHwQ6MDgwNqA0oDKGMGh0dHA6Ly9jcmwudXNlcnRydXN0LmNvbS9HYW5kaVN0YW5kYXJkU1NMQ0EyLmNybDBzBggrBgEFBQcBAQRnMGUwPAYIKwYBBQUHMAKGMGh0dHA6Ly9jcnQudXNlcnRydXN0LmNvbS9HYW5kaVN0YW5kYXJkU1NMQ0EyLmNydDAlBggrBgEFBQcwAYYZaHR0cDovL29jc3AudXNlcnRydXN0LmNvbTCCAXwGCisGAQQB1nkCBAIEggFsBIIBaAFmAHUArfe++nz/EMiLnT2cHj4YarRnKV3PsQwkyoWGNOvcgooAAAGEfEppUQAABAMARjBEAiBnxmbtMYKTaiz4dJZrjAjVCrDgG5CCTHZtaJoJe09OZgIgPvkoa70ugHNe3uoZGlFZ+1x9eqBw7gPwfoTbYrq2Nn4AdQB6MoxU2LcttiDqOOBSHumEFnAyE4VNO9IrwTpXo1LrUgAAAYR8SmkiAAAEAwBGMEQCHxdifvHUqKupXgAF2S2i1Mn85oQBJ2fUW54MjPFh4/gCIQC33FtoSZbjPmLS0JOSeTescOug1nHFXINVsQ1+LUyDigB2AOg+0No+9QY1MudXKLyJa8kD08vREWvs62nhd31tBr1uAAABhHxKaPYAAAQDAEcwRQIhAP5E/V7JdqaX+v6JA+NLWYj9UFCrQ9EoCTlqRhUQSI0TAiBGplOM7hVyvTCs36qqVz5ijNv4MMATVGV+AT9jn0cJuTBWBgNVHREETzBNghJ3d3cuYnVkZ2V0LmdvdXYuZnKCDmJ1ZGdldC5nb3V2LmZygid3d3cucGVyZm9ybWFuY2UtcHVibGlxdWUuYnVkZ2V0LmdvdXYuZnIwDQYJKoZIhvcNAQELBQADggEBAF81w5iQzSeGqr/wBYx623IAI5qVc3nHjNGkz8qZQX0IRlob/GBvlpK/X+YlYpeYSL/xmIh77zn14M80lnwD2KnqPWEAviI6o3TMH2TFgIqyN3e6VtevYfcuN1uMCL3XMNdW3lOj/bN5GhHWcj2mpMw6CwEWzvE3CPB82GpcM0dLIwehZSgaKCetO7dJtbTtjVaeVCxnVtcKThLICr9AMIGoTXJZnFm0GNMU5RNOUWoTifAqtMuRC3oh/vX+YBIgynlq7Mo+bPtep71tXNZo848jfVQn9rLs32y206V7I4aKsQfwn12VP9fvz8w2IkwDt2yXiBKUz7cfav935VDb2sI=\n-----END CERTIFICATE-----","",""
"cert_commonName","www.budget.gouv.fr/46.105.199.81","443","OK","www.budget.gouv.fr","",""
"cert_commonName_wo_SNI","www.budget.gouv.fr/46.105.199.81","443","INFO","cdn.ovh.net","",""
"cert_subjectAltName","www.budget.gouv.fr/46.105.199.81","443","INFO","www.budget.gouv.fr budget.gouv.fr www.performance-publique.budget.gouv.fr","",""
"cert_trust","www.budget.gouv.fr/46.105.199.81","443","OK","Ok via SAN and CN (SNI mandatory)","",""
"cert_chain_of_trust","www.budget.gouv.fr/46.105.199.81","443","OK","passed.","",""
"cert_certificatePolicies_EV","www.budget.gouv.fr/46.105.199.81","443","INFO","no","",""
"cert_expirationStatus","www.budget.gouv.fr/46.105.199.81","443","OK","204 >= 60 days","",""
"cert_notBefore","www.budget.gouv.fr/46.105.199.81","443","INFO","2022-11-15 00:00","",""
"cert_notAfter","www.budget.gouv.fr/46.105.199.81","443","OK","2023-11-20 23:59","",""
